scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
526650,INE305A01023,TFCILTD,TFCILTD,Tourism Finance Corpn. Of India Ltd,B,2888.98,Micro Cap,2026-03-13,Financial Services,Financial Services,Finance,Financial Institution,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
526662,INE610C01014,ARENTERP,ARENTERP,Rajdarshan Industries Ltd.,B,13.8,Micro Cap,2026-03-13,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,-,2026-03-13,2026-03-13
526666,INE828A01016,BIL,BIL,Bhartiya International Ltd.,B,965.55,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,NIFTY 500,2026-03-13,2026-03-13
526668,INE967C01018,KAMATHOTEL,KAMATHOTEL,Kamat Hotels (India) ltd.,B,548.33,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,NIFTY SERVICES SECTOR,2026-03-13,2026-03-13
526677,INE055C01020,KEEPLEARN,KEEPLEARN,DSJ KEEP LEARNING LIMITED,B,29.59,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,-,2026-03-13,2026-03-13
526725,INE583B01015,SANDESH,SANDESH,Sandesh Ltd.,B,715.31,Micro Cap,2026-03-13,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media,NIFTY MEDIA,2026-03-13,2026-03-13
526797,INE461C01038,GREENPLY,GREENPLY,Greenply Industries Ltd,B,2445.93,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,NIFTY 500,2026-03-13,2026-03-13
526807,INE497B01018,SEAMECLTD,SEAMECLTD,Seamec Ltd,B,3417.12,Micro Cap,2026-03-13,Services,Services,Transport Services,Shipping,NIFTY SERVICES SECTOR,2026-03-13,2026-03-13
526817,INE974B01016,CHEVIOT,CHEVIOT,Cheviot Co.Ltd.,B,580.45,Micro Cap,2026-03-13,Commodities,Forest Materials,Paper Forest & Jute Products,Jute & Jute Products,-,2026-03-13,2026-03-13
526829,INE552D01024,CONFIPET,CONFIPET,Confidence Petroleum India Limited,B,1240.59,Micro Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,-,2026-03-13,2026-03-13
